項目コード,男女区分,基準値,単位
9N016160100000001,1,85,以上
9N016160100000001,2,90,以上
9N016160200000001,1,85,以上
9N016160200000001,2,90,以上
9N016160300000001,1,85,以上
9N016160300000001,2,90,以上
9N011000000000001,1,25,以上
9N011000000000001,2,25,以上
9N021000000000001,1,100,以上
9N021000000000001,2,100,以上
3D010000001926101,1,100,以上
3D010000001926101,2,100,以上
3D010000002227101,1,100,以上
3D010000002227101,2,100,以上
3D010000001927201,1,100,以上
3D010000001927201,2,100,以上
3D010000001999901,1,100,以上
3D010000001999901,2,100,以上
3D045000001906202,1,5.2,以上
3D045000001906202,2,5.2,以上
3D045000001920402,1,5.2,以上
3D045000001920402,2,5.2,以上
3D045000001927102,1,5.2,以上
3D045000001927102,2,5.2,以上
3D045000001999902,1,5.2,以上
3D045000001999902,2,5.2,以上
3D046000001906202,1,5.6,以上
3D046000001906202,2,5.6,以上
3D046000001920402,1,5.6,以上
3D046000001920402,2,5.6,以上
3D046000001927102,1,5.6,以上
3D046000001927102,2,5.6,以上
3D046000001999902,1,5.6,以上
3D046000001999902,2,5.6,以上
9N706000000000011,1,1,
9N706000000000011,2,1,
3F015000002327101,1,150,以上
3F015000002327101,2,150,以上
3F015000002327201,1,150,以上
3F015000002327201,2,150,以上
3F015000002399901,1,150,以上
3F015000002399901,2,150,以上
3F070000002327101,1,40,未満
3F070000002327101,2,40,未満
3F070000002327201,1,40,未満
3F070000002327201,2,40,未満
3F070000002399901,1,40,未満
3F070000002399901,2,40,未満
9N711000000000011,1,1,
9N711000000000011,2,1,
9A755000000000001,1,130,以上
9A752000000000001,1,130,以上
9A751000000000001,1,130,以上
9A755000000000001,2,130,以上
9A752000000000001,2,130,以上
9A751000000000001,2,130,以上
9A765000000000001,1,85,以上
9A762000000000001,1,85,以上
9A761000000000001,1,85,以上
9A765000000000001,2,85,以上
9A762000000000001,2,85,以上
9A761000000000001,2,85,以上
9N701000000000011,1,1,
9N701000000000011,2,1,
9N736000000000011,1,1,
9N736000000000011,2,1,
